month,total_disbursed,total_fees,avg_fee_pct,total_repaid,repayment_rate,provisioning_amount,net_profit,month_index
2024-01-01,3179535,408502.15,0.12,0.0,0.0,3179535.0,-2771032.85,0
2024-02-01,3430755,442186.79,0.12,0.0,0.0,3430755.0,-2988568.21,1
2024-03-01,3934501,508657.31,0.12,0.0,0.0,3934501.0,-3425843.69,2
2024-04-01,3936530,506603.3,0.12,0.0,0.0,3936530.0,-3429926.7,3
2024-05-01,4018499,521668.75,0.12,0.0,0.0,4018499.0,-3496830.25,4
2024-06-01,3508068,455879.42,0.12,0.0,0.0,3508068.0,-3052188.58,5
2024-07-01,3396928,444183.6,0.12,3869458.11,1.14,-472530.11,916713.71,6
2024-08-01,1207338,160364.04,0.12,0.0,0.0,1207338.0,-1046973.96,7
